ï»¿X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.2797026468921,44.9438300026939,0032XX BLAISDELL AVE ,MP202068067         ,5     ,2020/03/13 00:00:00+00,2333,2020/03/13 00:00:00+00,2020/03/13 23:33:00+00,2055,THEFT   ,OTHER THEFT                   ,07 ,2020/03/17 00:00:00+00,14077,-93.27970619,44.94383061,-10383849,5612683,Lyndale,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,1
-93.2888205470259,44.9649546540548,0019XX HENNEPIN AVE ,MP2020701518        ,5     ,2020/03/20 00:00:00+00,1020,2020/03/11 00:00:00+00,2020/03/20 10:20:00+00,502,TMVP    ,THEFT-MOTR VEH PARTS          ,07 ,2020/03/21 00:00:00+00,21641,-93.28882483,44.96495655,-10384864,5616006,Lowry Hill East,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,2
-93.
TRUNCATED
