ï»¿FID,PublicAddress,ControlNbr,CCN,Precinct,ReportedDate,BeginDate,Time,Offense,Description,UCRCode,EnteredDate,GBSID,Lat,Long,X,Y,Neighborhood,LastChanged,LastUpdateDate
1,Grant ST W / Lasalle AV ,3020053,MP 2011 387930,01,2012/01/01 01:14:00,2011/12/28 21:00:00,21:00:00,CSCR,Crim Sex Cond-rape,03,2012/01/01 01:13:07,,44.96986,-93.27933,-10383806.98,5616778.26,LORING PARK,2012/02/27 08:36:26,2017/03/03 13:40:06
2,0028XX Hennepin AV S,3020060,MP 2012 000145,05,2012/01/01 02:29:59,2011/12/31 18:59:59,19:00:00,AUTOTH,Motor Vehicle Theft,08,2012/01/01 02:29:39,20796,44.95095754,-93.29826148,-10385914.9597,5613804.0564,LOWRY HILL EAST,2013/01/15 18:17:59,2017/03/03 13:40:06
3,0001XX 1 ST N,3020065,MP 2012 999999,01,2012/01/01 02:58:31,2012/01/01 01:30:00,01:30:00,THEFT,Other Theft,07,2012/01/01 02:58:31,16631,44.98498259,-93.26844717,-10382596.0463,5619157.6124,NORTH LOOP,2012/01/02 09:09:38,2017/03/03 13:40:06
4,13 
TRUNCATED
