ï»¿FID,PublicAddress,ControlNbr,CCN,Precinct,ReportedDate,BeginDate,Time,Offense,Description,UCRCode,EnteredDate,GBSID,Lat,Long,X,Y,Neighborhood,LastChanged,LastUpdateDate
1,0026XX Emerson AV N,3696102,MP 2017 292070,04,2017/08/02 19:30:00,2017/07/28 15:00:00,15:00:00,AUTOTH,Motor Vehicle Theft,08,2017/08/02 19:15:05,20359,45.0068497,-93.29431515,-10385475.6566,5622599.8956,HAWTHORNE,2017/08/07 06:28:36,2017/08/07 20:00:32
2,0037XX Fremont AV N,3696297,MP 2017 292852,04,2017/08/03 10:34:00,2017/08/02 22:30:00,22:30:00,THEFT,Other Theft,07,2017/08/03 13:53:11,10009,45.02307959,-93.29562779,-10385621.7791,5625155.6277,FOLWELL,2017/08/07 06:30:55,2017/08/07 20:00:32
3,0030XX Fremont AV N,3696475,MP 2017 294006,04,2017/08/04 10:20:00,2017/08/04 08:00:00,08:00:00,ROBPAG,Robbery Per Agg,04,2017/08/04 10:23:01,22233,45.01223716,-93.29558715,-10385617.2547,5623448.1827,JORDAN,2017/08/06 13:14:17,2017/08/06 20:00:35
4,0015
TRUNCATED
