objectid,dc_dist,psa,dispatch_date_time,dispatch_date,dispatch_time,hour_,dc_key,location_block,ucr_general,text_general_code,point_x,point_y,lat,lng
122,12,1,2016-12-21 21:29:00,2016-12-21,21:29:00,21,201612086657,6600 BLOCK ESSINGTON AVE,300,Robbery No Firearm,-75.22059229,39.91443023,39.91443023,-75.22059229
123,12,1,2016-12-27 01:47:00,2016-12-27,01:47:00,1,201612087622,6600 BLOCK ESSINGTON AVE,300,Robbery Firearm,-75.22059229,39.91443023,39.91443023,-75.22059229
131,9,2,2016-10-31 02:00:00,2016-10-31,02:00:00,2,201609044469,1400 BLOCK SPRING GARDEN ST,600,Theft from Vehicle,-75.16144594,39.96233372,39.96233372,-75.16144594
5,9,1,2016-08-09 20:07:00,2016-08-09,20:07:00,20,201609031759,100 BLOCK S BROAD ST,600,Thefts,-75.06662794,40.04926427,40.04926427,-75.06662794
6,9,1,2016-10-18 09:54:00,2016-10-18,09:54:00,9,201609042436,100 BLOCK S BROAD ST,500,Burglary Non-Residential,-75.06662794,40.04926427,40.049264
TRUNCATED
