objectid,dc_dist,psa,dispatch_date_time,dispatch_date,dispatch_time,hour_,dc_key,location_block,ucr_general,text_general_code,point_x,point_y,lat,lng
115,12,E,2009-03-05 21:51:00,2009-03-05,21:51:00,21,200912019696,6600 BLOCK ESSINGTON AVE,300,Robbery Firearm,-75.22059229,39.91443023,39.91443023,-75.22059229
116,12,1,2009-12-29 11:22:00,2009-12-29,11:22:00,11,200912122189,6600 BLOCK ESSINGTON AVE,500,Burglary Non-Residential,-75.22059229,39.91443023,39.91443023,-75.22059229
1,14,X,2009-04-06 18:26:00,2009-04-06,18:26:00,18,200914024360,300 BLOCK E WALNUT LN,500,Burglary Residential,-75.17337751,40.04575153,40.04575153,-75.17337751
2,14,X,2009-04-12 19:09:00,2009-04-12,19:09:00,19,200914025973,300 BLOCK E WALNUT LN,500,Burglary Residential,-75.17337751,40.04575153,40.04575153,-75.17337751
45,9,K,2009-07-19 10:42:00,2009-07-19,10:42:00,10,200909035017,1400 BLOCK SPRING GARDEN ST,600,Thefts,-75.16144594,39.96233372
TRUNCATED
