"Nature
Case #
Reported
Occurred
Location
Disposition
On Campus?","","","","","",""
"Bench Warrant For Fta","21-53","02/16/2021 19:21","02/16/2021  19:21 - 
02/16/2021 20:00","Atrium, 5152 N Barton Ave, Fresno","Clred By Adult Arrest 
02/16/2021","No"
"Bench Warrant For Fta","","","","","",""
"Vehicle Theft","21-54","02/17/2021 13:29","02/16/2021  18:00 - 
02/17/2021 11:00","Industrial Technology, 2255 E Barstow 
Ave, Fresno","Clred By Other Means 
02/19/2021","Yes"
"Vehicle Theft","21-56","02/18/2021 13:28","02/16/2021  08:00 - 
02/18/2021 13:30","Mckee Fisk, 2225 E San Ramon Ave, 
Fresno","Open","Yes"
"Petty Theft, less than $950","","","","","",""
"False Pretenses:obt $/Etc","21-58","02/19/2021 17:09","01/12/2021  13:05 - 
02/03/2021 16:30","905 W Waldby Ave, Fresno","Suspended 03/05/2021","No"
"Vehicle Theft","21-59","02/21/2021 02:43","02/21/2021  02:35 - 
02/21/2021 02:45","Delta Sigma Phi, 5209 N Millbrook Ave, 
Fresno","Clred By Other Means 
02/21/2021","No"
"Maintain Public Nuisance","21-61","02/22/2021 14:36","02/22/2021  14:36 - 
02/22/2021 15:04","Education Bldg, 5005 N Maple Ave, 
Fresno","Clred By Other Means 
02/22/2021","Yes"
"Nonstudnt Refuse Leav Sch","","","","","",""
"False Pretenses:obt $/Etc","21-62","02/23/2021 18:42","02/23/2021  18:42","University Police Dept, 2311 E Barstow 
Ave, Fresno","Suspended","No"
"Embezzlement $400+","21-63","02/24/2021 13:27","02/02/2021  13:20 - 
02/02/2021 13:20","5350 N Campus Dr, Fresno","Open 03/02/2021","No"
"Deface W/Paint/Etc","21-67","03/01/2021 10:52","03/01/2021  10:52 - 
03/01/2021 10:52","E Bulldog Lane/N Ninth St, Fresno","Suspended 03/01/2021","No"
"Petty Theft","21-68","03/01/2021 13:13","03/01/2021  04:10 - 
03/01/2021 06:35","Phi Delta, 5327 N Millbrook Ave, 
Fresno","Suspended 03/01/2021","No"
"Petty Theft","21-69","03/04/2021 02:38","03/04/2021  02:38 - 
03/04/2021 04:27","Palazzo Apartments, 5164 Primitivo 
Way, Fresno","Clred By Adult Arrest 
03/04/2021","No"
"Possess Unlawful Paraphernalia","21-70","03/04/2021 20:34","03/04/2021  20:34 - 
03/04/2021 21:15","N Gym, 5305 N Campus Dr, Fresno","Clred By Adult Arrest 
03/04/2021","No"
"Bench Warrant For Fta","","","","","",""
"Bench Warrant For Fta","21-71","03/05/2021 22:26","03/05/2021 - 
03/05/2021","N Cedar Ave/E Barstow Ave, Fresno","Suspended","No"
"Burglary","21-72","03/09/2021 10:51","01/03/2021  20:00 - 
01/04/2021 11:00","Marks/Nelsen, Fresno","Suspended 03/09/2021","No"
"HIT&RUN PROP DAMAG:NOTIFY","21-74","03/10/2021 15:57","03/01/2021  13:15 - 
03/01/2021 14:50","Shipping Receiving, 2671 E Barstow 
Ave, Fresno","Clred By Other Means 
03/11/2021","No"
"Fire","210312
0050","03/12/2021 09:23","","Palazzo Apartments, 5164 Primitivo 
Way, Fresno","Necessary Action Taken","Unknown"
