ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
17012783,"01/28/2017, 7:05:00 am","07/30/2017, 5:00:56 pm",CARROLLTON,GA,30117,100 Block OLD MILL COURT,STALKING,Proactive Policing,STALKING
17012731,"01/28/2017, 3:40:00 am","07/29/2017, 5:02:18 pm",CARROLLTON,GA,30117,200 Block AZELA PLACE,CRIMINAL DAMAGE TO PROPERTY 2ND DEGREE,Property Crime ,CRIMINAL DAMAGE TO PROPERTY 2ND DEGREE
17012715,"01/28/2017, 1:29:00 am","07/29/2017, 5:02:18 pm",CARROLLTON,GA,30117,100 Block C DANNY DRIVE,SIMPLE BATTERY,Assault ,SIMPLE BATTERY
17012713,"01/28/2017, 1:13:00 am","07/29/2017, 5:02:18 pm",CARROLLTON,GA,30117,200 Block ,THEFT BY TAKING,Theft,THEFT BY TAKING
17012648,"01/27/2017, 4:30:00 am","07/28/2017, 5:02:07 pm",CARROLLTON,GA,30117,100 Block COTTAGE HILL ROAD,ENTERING AUTO,Theft from Vehicle,ENTERING AUTO
17012601,"01/27/2017, 3:55:00 am","07/28/2017, 5:02:06 pm",CARROLLTON,GA,30117,1000 Block BANKHEAD HIGHWAY,POSSESSION OF MARIJUANA LESS THAN 1 OZ,Quality of Life,POSSESSION OF MARIJUANA LESS THAN 1 OZ
17012629,"01/27/2017, 7:08:00 am","07/29/2017, 5:02:18 pm",CARROLLTON,GA,30117,100 Block NIZZEAR LANE,SIMPLE ASSAULT,Assault ,SIMPLE ASSAULT
17012616,"01/27/2017, 6:05:00 am","07/28/2017, 5:02:07 pm",CARROLLTON,GA,30117,1200 Block MAPLE STREET,FORGERY 1ST DEGREE,Other ,FORGERY 1ST DEGREE
17012606,"01/27/2017, 4:02:00 am","07/28/2017, 5:02:07 pm",CARROLLTON,GA,30117,100 Block OLD MILL COURT,BATTERY - FAMILY VIOLENCE,Other ,BATTERY - FAMILY VIOLENCE
17012576,"01/26/2017, 10:15:00 pm","07/28/2017, 5:02:06 pm",CARROLLTON,GA,30117,1700 Block SOUTH HWY 27,THEFT BY SHOPLIFTING,Theft,THEFT BY SHOPLIFTING
17012572,"01/23/2017, 7:00:00 am","07/25/2017, 5:02:14 pm",CARROLLTON,GA,30116,SOMEWHERE IN CARROLL COUNTY,THEFT OF LOST/MISLAID PROPERTY,Theft,THEFT OF LOST/MISLAID PROPERTY
17012552,"01/26/2017, 6:30:00 pm","07/28/2017, 5:02:07 pm",CARROLLTON,GA,30117,100 Block CARROLL CIRCLE,THEFT BY TAKING,Theft,THEFT BY TAKING
17012544,"01/26/2017, 5:15:00 am","07/27/2017, 5:02:29 pm",CARROLLTON,GA,30117,400 Block LOVVORN ROAD,CRIMINAL DAMAGE TO PROPERTY 2ND DEGREE,Property Crime ,CRIMINAL DAMAGE TO PROPERTY 2ND DEGREE
