ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
201816497,"04/01/2017, 7:00:00 am","10/23/2018, 1:08:23 pm",CEDAR RAPIDS,IA,,4400 Block BOWLING ST SW -,BURGLARY,Breaking & Entering,BURGLARY
201703769,"03/12/2017, 1:50:00 am","04/18/2018, 1:25:17 pm",CEDAR RAPIDS,IA,,200 Block 16TH ST NE,ATTEMPT TO COMMIT MURDER,Homicide,ATTEMPT TO COMMIT MURDER
201804458,"03/16/2017, 7:00:00 am","04/18/2018, 1:25:21 pm",CEDAR RAPIDS,IA,,5700 Block D AVE NW,THEFT ALL OTHER,Theft,THEFT ALL OTHER
201804218,"03/08/2017, 8:00:00 pm","03/22/2018, 7:31:16 pm",CEDAR RAPIDS,IA,,300 Block COLLINS RD NE,THEFT ALL OTHER,Theft,THEFT ALL OTHER
