ï»¿FID,PublicAddress,ControlNbr,CCN,Precinct,ReportedDate,BeginDate,Time,Offense,Description,UCRCode,EnteredDate,GBSID,Lat,Long,X,Y,Neighborhood,LastChanged,LastUpdateDate
1,0021XX Broadway AV W,3363209,MP 2014 457317,04,2015/01/01 00:04:59,2014/12/31 20:10:00,20:10:00,AUTOTH,Motor Vehicle Theft,08,2015/01/01 00:05:21,15215,45.0030963,-93.30702211,-10386890.1882,5622008.9491,JORDAN,2015/01/01 01:33:55,2017/03/03 13:40:06
2,Girard AV N / Plymouth AV N,3363210,MP 2014 457574,04,2015/01/01 00:16:00,2014/12/31 23:48:59,23:49:00,AUTOTH,Motor Vehicle Theft,08,2015/01/01 00:13:17,,44.99196,-93.29717,-10385793.49,5620255.548,NEAR - NORTH,2015/02/20 06:12:55,2017/03/03 13:40:06
3,2 AV N / 4 ST N,3363218,MP 2015 999999,01,2015/01/01 01:13:52,2014/12/31 19:30:00,19:30:00,THEFT,Other Theft,07,2015/01/01 01:13:52,,44.98205,-93.27369,-10383179.94,5618696.632,DOWNTOWN WEST,2015/01/02 07:04:14,2017/03/03 13:40:06
4,0032XX Lyndale
TRUNCATED
