ï»¿X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.3107663894169,44.999685660456,0019XX RUSSELL AVE N,MP202185307         ,4     ,2021/04/24 00:00:00+00,1254,2021/04/24 00:00:00+00,2021/04/24 12:54:00+00,1254,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/05/01 00:00:00+00,14592,-93.31077401,44.99969153,-10387307,5621472,Willard - Hay,2021/05/01 00:00:00+00,2021/05/02 07:02:28+00,1
-93.2086908236824,44.965539396853,0001XX BEDFORD ST SE,MP202188261         ,2     ,2021/04/29 00:00:00+00,1416,2021/04/27 00:00:00+00,2021/04/29 14:16:00+00,2000,BURGB   ,BURGLARY OF BUSINESS          ,06 ,2021/05/01 00:00:00+00,18618,-93.20869933,44.9655447,-10375944,5616098,Prospect Park - East River Road,2021/05/01 00:00:00+00,2021/05/02
TRUNCATED
