ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
17-0650BB-2,"03/01/2017, 7:00:00 am","06/20/2017, 7:40:05 pm",FULTON,KS,66701,2300 Block WAGON RD,RMS THEFT OF PROP/SERVICES; FELONY,Theft,THEFT OF PROP/SERVICES; FELONY
17-0650BB-1,"03/01/2017, 7:00:00 am","06/20/2017, 7:40:05 pm",FULTON,KS,66701,2300 Block WAGON RD,RMS BURGLARY; BUILDING IS A DWELLING,Breaking & Entering,BURGLARY; BUILDING IS A DWELLING
17-0386BB-1,"03/18/2017, 3:00:00 pm","04/25/2017, 7:40:03 pm",FORT SCOTT,KS,66701,200 Block NATIONAL AVE,RMS GENERAL PURPOSE - LOST PROPERTY,Other ,GENERAL PURPOSE - LOST PROPERTY
17-0313BB-1,"03/31/2017, 9:54:01 pm","04/07/2017, 7:40:06 pm",UNIONTOWN,KS,66779,600 Block SHERMAN,RMS GENERAL PURPOSE - FIRE,Fire,GENERAL PURPOSE - FIRE
