objectid,dc_dist,psa,dispatch_date_time,dispatch_date,dispatch_time,hour_,dc_key,location_block,ucr_general,text_general_code,point_x,point_y,lat,lng
120,12,1,2015-01-15 08:58:00,2015-01-15,08:58:00,8,201512003444,6600 BLOCK ESSINGTON AVE,500,Burglary Non-Residential,-75.22059229,39.91443023,39.91443023,-75.22059229
121,12,1,2015-05-27 20:09:00,2015-05-27,20:09:00,20,201512041070,6600 BLOCK ESSINGTON AVE,400,Aggravated Assault No Firearm,-75.22059229,39.91443023,39.91443023,-75.22059229
129,12,1,2015-01-11 14:38:00,2015-01-11,14:38:00,14,201512002478,6600 BLOCK ESSINGTON AVE,300,Robbery Firearm,-75.22059229,39.91443023,39.91443023,-75.22059229
4,9,1,2015-04-15 11:14:00,2015-04-15,11:14:00,11,201509015124,100 BLOCK S BROAD ST,600,Thefts,-75.06662794,40.04926427,40.04926427,-75.06662794
28,9,2,2015-01-31 12:45:00,2015-01-31,12:45:00,12,201509003948,1400 BLOCK SPRING GARDEN ST 210,600,Thefts,-75.16144594,39.9623337
TRUNCATED
