ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
21HF01884-1,"04/01/2021, 4:16:20 am","04/01/2021, 9:53:53 am",HARTFORD,VT,.,100 Block PINE ST,[RMS] Directed Patrol,Proactive Policing,Directed Patrol
21HF01885-1,"04/01/2021, 4:25:21 am","04/01/2021, 9:53:54 am",HARTFORD,VT,.,400 Block N N HARTLAND RD,[RMS] Directed Patrol,Proactive Policing,Directed Patrol
21HF01886-1,"04/01/2021, 4:35:10 am","04/01/2021, 9:53:55 am",HARTFORD,VT,.,100 Block LESLIE DR,[RMS] Suspicious Person/Circumstance,Other,Suspicious Person/Circumstance
21HF01883-1,"04/01/2021, 3:04:31 am","04/01/2021, 9:53:52 am",HARTFORD,VT,.,1 Block TEMPLETON AVE,[RMS] Welfare Check,Other,Welfare Check
