ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
2108909026,"03/25/2021, 7:00:00 am","03/31/2021, 4:08:45 pm",LAKEWOOD,WASHINGTON,98498,8600 Block ZIRCON DR SW,Theft From Motor Vehicle,Theft from Vehicle,Theft From Motor Vehicle occurred around 2:00
2108909025,"03/27/2021, 7:00:00 am","03/31/2021, 4:08:45 pm",LAKEWOOD,WASHINGTON,98498,11100 Block 105TH AVE CT SW,Theft From Motor Vehicle,Theft from Vehicle,Theft From Motor Vehicle occurred around 0:00
2108909024,"03/27/2021, 7:00:00 am","03/31/2021, 4:08:45 pm",LAKEWOOD,WASHINGTON,98498,11100 Block 105TH AVE CT SW,Theft From Motor Vehicle,Theft from Vehicle,Theft From Motor Vehicle occurred around 0:00
2108909023,"03/25/2021, 7:00:00 am","03/31/2021, 4:08:45 pm",LAKEWOOD,WASHINGTON,98499,3500 Block 92ND ST S,Destruction/Damage/Vandalism of Property,Property Crime,Destruction/Damage/Vandalism of Property occurred around 2:00
